country_code,language,keyword,volume,keyword_difficulty,cpc_usd,competition
US,en,SEO,135000,90,19.92,LOW
US,en,keywords,90500,73,7.75,LOW
US,en,backlinks,8100,74,26.58,MEDIUM
US,en,ranking,40500,57,0.21,LOW
US,en,SEO tools,49500,68,17.04,LOW
US,en,SEO audit,8100,52,15.31,LOW
US,en,SERP,12100,81,9.01,LOW
US,en,site speed,1600,100,6.14,LOW
US,en,meta tags,4400,64,5.39,LOW
US,en,analytics,60500,90,15.14,LOW
JP,ja,SEO,49500,66,6.96,LOW
JP,ja,キーワード,9900,55,9.21,LOW
JP,ja,被リンク,,,,
JP,ja,検索順位,,,,
JP,ja,SEO対策,27100,59,7.88,LOW
JP,ja,SEOツール,,,,
JP,ja,サイト分析,,,,
JP,ja,メタタグ,,,,
JP,ja,検索エンジン,,,,
JP,ja,アクセス解析,,,,
DE,de,SEO,,,,
DE,de,Keywords,,,,
DE,de,Backlinks,,,,
DE,de,Ranking,,,,
DE,de,SEO Tools,,,,
DE,de,SEO Analyse,,,,
DE,de,Suchmaschine,,,,
DE,de,Meta Tags,,,,
DE,de,Indexierung,,,,
DE,de,Sichtbarkeit,,,,
GB,en,SEO,,,,
GB,en,keywords,,,,
GB,en,backlinks,,,,
GB,en,ranking,,,,
GB,en,SEO tools,,,,
GB,en,SEO audit,,,,
GB,en,SERP,,,,
GB,en,site speed,,,,
GB,en,meta tags,,,,
GB,en,analytics,,,,
FR,fr,SEO,,,,
FR,fr,mots-clés,,,,
FR,fr,backlinks,,,,
FR,fr,référencement,,,,
FR,fr,outils SEO,,,,
FR,fr,audit SEO,,,,
FR,fr,balises méta,,,,
FR,fr,trafic,,,,
FR,fr,indexation,,,,
FR,fr,optimisation,,,,
BR,pt,SEO,,,,
BR,pt,palavras-chave,,,,
BR,pt,backlinks,,,,
BR,pt,ranking,,,,
BR,pt,ferramentas SEO,,,,
BR,pt,análise SEO,,,,
BR,pt,meta tags,,,,
BR,pt,tráfego,,,,
BR,pt,indexação,,,,
BR,pt,otimização,,,,
IT,it,SEO,,,,
IT,it,parole chiave,,,,
IT,it,backlinks,,,,
IT,it,ranking,,,,
IT,it,strumenti SEO,,,,
IT,it,analisi SEO,,,,
IT,it,meta tag,,,,
IT,it,traffico,,,,
IT,it,indicizzazione,,,,
IT,it,ottimizzazione,,,,
CA,en,SEO,,,,
CA,en,keywords,,,,
CA,en,backlinks,,,,
CA,en,ranking,,,,
CA,en,SEO tools,,,,
CA,en,SEO audit,,,,
CA,en,SERP,,,,
CA,en,site speed,,,,
CA,en,meta tags,,,,
CA,en,analytics,,,,
KR,ko,SEO,,,,
KR,ko,키워드,,,,
KR,ko,백링크,,,,
KR,ko,검색순위,,,,
KR,ko,SEO 도구,,,,
KR,ko,사이트 분석,,,,
KR,ko,메타 태그,,,,
KR,ko,검색엔진,,,,
KR,ko,트래픽,,,,
KR,ko,최적화,,,,
AU,en,SEO,,,,
AU,en,keywords,,,,
AU,en,backlinks,,,,
AU,en,ranking,,,,
AU,en,SEO tools,,,,
AU,en,SEO audit,,,,
AU,en,SERP,,,,
AU,en,site speed,,,,
AU,en,meta tags,,,,
AU,en,analytics,,,,
MX,es,SEO,,,,
MX,es,palabras clave,,,,
MX,es,backlinks,,,,
MX,es,ranking,,,,
MX,es,herramientas SEO,,,,
MX,es,auditoría SEO,,,,
MX,es,meta tags,,,,
MX,es,tráfico,,,,
MX,es,indexación,,,,
MX,es,optimización,,,,
ES,es,SEO,,,,
ES,es,palabras clave,,,,
ES,es,backlinks,,,,
ES,es,ranking,,,,
ES,es,herramientas SEO,,,,
ES,es,auditoría SEO,,,,
ES,es,meta tags,,,,
ES,es,tráfico,,,,
ES,es,indexación,,,,
ES,es,optimización,,,,
ID,id,SEO,,,,
ID,id,kata kunci,,,,
ID,id,backlink,,,,
ID,id,peringkat,,,,
ID,id,alat SEO,,,,
ID,id,analisis SEO,,,,
ID,id,meta tag,,,,
ID,id,lalu lintas,,,,
ID,id,pencarian,,,,
ID,id,optimasi,,,,
NL,nl,SEO,,,,
NL,nl,zoekwoorden,,,,
NL,nl,backlinks,,,,
NL,nl,ranking,,,,
NL,nl,SEO tools,,,,
NL,nl,SEO analyse,,,,
NL,nl,meta tags,,,,
NL,nl,verkeer,,,,
NL,nl,indexering,,,,
NL,nl,optimalisatie,,,,
TW,zh,SEO,,,,
TW,zh,關鍵字,,,,
TW,zh,反向連結,,,,
TW,zh,排名,,,,
TW,zh,SEO工具,,,,
TW,zh,SEO分析,,,,
TW,zh,中繼標記,,,,
TW,zh,流量,,,,
TW,zh,索引,,,,
TW,zh,搜尋引擎,,,,
TH,th,SEO,,,,
TH,th,คีย์เวิร์ด,,,,
TH,th,แบ็คลิงก์,,,,
TH,th,อันดับ,,,,
TH,th,เครื่องมือ SEO,,,,
TH,th,วิเคราะห์ SEO,,,,
TH,th,เมต้าแท็ก,,,,
TH,th,ทราฟฟิก,,,,
TH,th,ค้นหา,,,,
TH,th,เพิ่มประสิทธิภาพ,,,,
SE,sv,SEO,,,,
SE,sv,nyckelord,,,,
SE,sv,bakåtlänkar,,,,
SE,sv,ranking,,,,
SE,sv,SEO verktyg,,,,
SE,sv,SEO analys,,,,
SE,sv,meta taggar,,,,
SE,sv,trafik,,,,
SE,sv,indexering,,,,
SE,sv,optimering,,,,
VN,vi,SEO,,,,
VN,vi,từ khóa,,,,
VN,vi,backlink,,,,
VN,vi,xếp hạng,,,,
VN,vi,công cụ SEO,,,,
VN,vi,phân tích SEO,,,,
VN,vi,meta tag,,,,
VN,vi,lưu lượng,,,,
VN,vi,tìm kiếm,,,,
VN,vi,tối ưu hóa,,,,
IN,en,SEO,,,,
IN,en,keywords,,,,
IN,en,backlinks,,,,
IN,en,ranking,,,,
IN,en,SEO tools,,,,
IN,en,SEO audit,,,,
IN,en,SERP,,,,
IN,en,site speed,,,,
IN,en,meta tags,,,,
IN,en,analytics,,,,
PH,en,SEO,,,,
PH,en,keywords,,,,
PH,en,backlinks,,,,
PH,en,ranking,,,,
PH,en,SEO tools,,,,
PH,en,SEO audit,,,,
PH,en,SERP,,,,
PH,en,site speed,,,,
PH,en,meta tags,,,,
PH,en,analytics,,,,
